#Taxon	ERR17070056	ERR17070057	ERR17070058	ERR17070059	ERR17070060	ERR17070061	ERR17070062	ERR17070063	ERR17070064	ERR17070065	ERR17070066	ERR17070067	ERR17070068	ERR17070069	ERR17070070	ERR17070071	ERR17070072	ERR17070073	ERR17070074	ERR17070075	ERR17070076	ERR17070077	ERR17070078	ERR17070079	ERR17070080	ERR17070081	ERR17070082	ERR17070083	ERR17070084
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Methylobacterium-Methylorubrum	22	73	51	16	58	37	34	17	13	17	61	17	101	102	228	87	13	3	3	10	0	7	13	12	0	1	267	3394	5
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__Bradyrhizobium	3	0	3	0	0	2	3	8	1	0	0	1	1	1	2	1	0	0	1	1	0	1	5	1	39	0	25	37	56
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas	5	24	24	8	13	16	15	29	6	5	23	6	14	15	11	1	4	5	3	8	11	11	6	3	0	0	0	2372	0
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae,g__Komagataeibacter	2	4	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	195	0	0	0	0
k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Microbacteriaceae,g__Leucobacter	3	13	4	10	2	4	56	7	5	1	0	276	72	32	19	6	3	2	8	33	48	16	65	4	0	10	172	46	0
k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Micrococcaceae,g__Micrococcus	10	5	4	1	2	2	8	1	2	1	1	16	37	6	12	2	0	3	2	3	3	6	1	2	0	5	96	80	0
k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Micrococcaceae,g__Rothia	6	2	3	3	1	3	5	2	2	0	1	108	19	3	3	4	1	7	0	2	0	1	0	3	177	1	9	5	0
k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces	52	4	7	13	6	9	36	27	2	5	42	86	497	471	414	1266	124	731	43	42	171	145	491	222	8	17	24	195	2
k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Corynebacteriales,f__Nocardiaceae,g__Rhodococcus	24	62	26	10	45	39	26	21	19	16	12	9	138	72	231	47	13	3	7	14	5	6	9	3	2	0	2	16045	0
k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriaceae,g__Corynebacterium	16	12	1	3	3	4	13	223	1	1	1	1472	103	64	40	14	7	143	24	4	28	13	34	10	976	149	710	206	126
k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Propionibacteriales,f__Nocardioidaceae,g__Nocardioides	24	38	21	4	21	37	13	0	14	21	18	4	95	49	343	32	13	8	3	6	1	0	5	0	0	1	0	1497	0
k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Propionibacteriales,f__Propionibacteriaceae,g__Cutibacterium	1	1	0	1	1	0	3	11	1	1	2	4	26	44	41	33	34	37	13	11	20	15	30	15	226	1	10	23	76
k__Bacteria,p__Actinobacteriota,c__Rubrobacteria,o__Rubrobacterales,f__Rubrobacteriaceae,g__Rubrobacter	16	1	3	6	0	5	24	12	1	2	41	41	338	266	263	890	68	566	33	24	136	114	343	164	0	9	0	51	0
k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,g__Empedobacter	66	7	5	61	0	1	1044	208	3	0	0	0	101	0	0	0	2	66	371	3394	543	35	2959	13	0	7	0	0	90
k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,g__Chryseobacterium	21	11	60	39	0	8	336	882	35	10	4	15	24	12	21	3	0	10	224	104	168	326	478	6	0	0	0	578	0
k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium	2	2	1	6	0	2	83	64	4	0	2	1	7	4	9	5	2	3	12	540	112	20	66	2	0	0	0	1322	0
k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Sphingobacterium	27	20	56	52	22	11	1398	1458	60	14	14	18	197	12	81	11	10	26	187	488	353	87	1171	10	0	0	0	101	0
k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Pedobacter	1	0	3	2	0	0	1	6	0	0	0	0	2	0	5	0	1	0	0	0	0	1	1	0	0	0	0	1398	0
k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Terribacillus	0	1	0	0	0	0	1	0	0	0	0	1	0	9	1	0	0	3	0	0	4	1	0	0	151	1	66	0	0
k__Bacteria,p__Firmicutes,c__Bacilli,o__Thermoactinomycetales,f__Thermoactinomycetaceae,g__Thermoactinomyces	0	1	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	247	0	0	0	0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Blautia	0	2	1	0	4	2	2	1	1	3	2	1	9	6	13	35	18	15	8	12	5	7	4	4	35	1	104	1	0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Tyzzerella	0	1	0	0	0	0	2	1	0	0	0	0	1	1	1	0	3	1	1	0	1	2	0	2	1	0	361	0	0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Peptostreptococcales-Tissierellales,g__Finegoldia	0	1	0	0	0	0	0	0	0	0	0	0	1	1	3	0	2	0	0	0	0	0	0	0	0	0	202	0	0
k__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__Saccharimonadaceae,g__TM7a	0	2	2	0	0	3	0	0	6	0	0	0	7	1	6	0	0	0	1	3	0	0	0	0	0	0	0	417	0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Epulopiscium	0	0	1	0	1	0	0	0	0	0	1	0	2	6	11	8	1	4	0	0	1	0	3	0	320	1	0	0	0
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__uncultured	0	0	1	0	0	1	0	1	0	0	0	0	0	2	3	0	0	0	2	2	1	2	4	0	12	0	8	18	18
k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella	0	0	1	0	0	1	1	0	0	0	2	0	0	3	0	2	1	0	0	0	0	0	0	0	0	4	0	1	120
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Caloramatoraceae,g__Fonticella	0	0	0	1	1	0	0	0	0	1	0	0	0	2	4	1	0	0	1	1	0	1	0	0	744	0	0	0	0
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Curvibacter	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	5	0	181	5	5
k__Bacteria,p__Bacteroidota,c__Rhodothermia,o__Rhodothermales,f__Rhodothermaceae,g__Salinibacter	0	0	0	0	1	1	0	0	0	0	8	0	2	0	3	1	1	1	0	0	0	1	0	2	0	0	0	1126	0
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Giesbergeria	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	302	0
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Polaromonas	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	34	3	4	41	21
